drug_1_rxnorn_id,drug_1_concept_name,drug_2_rxnorm_id,drug_2_concept_name,condition_meddra_id,condition_concept_name,A,B,C,D,PRR,PRR_error,mean_reporting_frequency,PRR_float,label
10355,Temazepam,136411,sildenafil,10003239,Arthralgia,7,149,24,1536,2.91667,0.421275,0.0448718,2.91667,1
10355,Temazepam,136411,sildenafil,10012735,Diarrhoea,2,154,37,1523,0.540541,0.721093,0.0128205,0.540541,0
7781,Oxazepam,9863,Sodium Chloride,10012735,Diarrhoea,4,31,6,344,6.66667,0.620676,0.114286,6.66667,1
10355,Temazepam,136411,sildenafil,10019211,Headache,16,140,41,1519,3.90244,0.282558,0.102564,3.90244,1
10355,Temazepam,136411,sildenafil,10047700,Vomiting,4,152,37,1523,1.08108,0.519592,0.025641,1.08108,1
10355,Temazepam,136411,sildenafil,10013946,Dyspepsia,2,154,5,1555,4.0,0.832435,0.0128205,4.0,1
10355,Temazepam,136411,sildenafil,10062237,Renal impairment,1,155,5,1555,2.0,1.09222,0.00641026,2.0,1
10355,Temazepam,136411,sildenafil,10011224,Cough,5,151,27,1533,1.85185,0.479568,0.0320513,1.85185,1
10355,Temazepam,136411,sildenafil,10039101,Rhinorrhoea,1,155,2,1558,5.0,1.22186,0.00641026,5.0,1
10355,Temazepam,136411,sildenafil,10062355,Unevaluable event,2,154,6,1554,3.33333,0.812167,0.0128205,3.33333,1
10355,Temazepam,136411,sildenafil,10025482,Malaise,12,144,41,1519,2.92683,0.317289,0.0769231,2.92683,1
10355,Temazepam,136411,sildenafil,10003988,Back pain,11,145,16,1544,6.875,0.382567,0.0705128,6.875,1
10355,Temazepam,136411,sildenafil,10016807,Fluid retention,2,154,6,1554,3.33333,0.812167,0.0128205,3.33333,1
10355,Temazepam,136411,sildenafil,10030124,Oedema peripheral,8,148,21,1539,3.80952,0.4069,0.0512821,3.80952,1
10355,Temazepam,136411,sildenafil,10030095,Oedema,6,150,5,1555,12.0,0.599679,0.0384615,12.0,1
10355,Temazepam,136411,sildenafil,10033295,Overdose,1,155,8,1552,1.25,1.05733,0.00641026,1.25,1
10355,Temazepam,136411,sildenafil,10011906,Death,3,153,64,1496,0.46875,0.584728,0.0192308,0.46875,0
7781,Oxazepam,9863,Sodium Chloride,10011906,Death,1,34,12,338,0.833333,1.02562,0.0285714,0.833333,0
